Majority protein IDs,QC1,QC2,QC3,QC4,QC5,QC6,QC7,QC8
P0DPI2,1270700000,1120200000,1025900000,919170000,1179600000,1045400000,1123300000,919240000
A0A0C4DH73,0,0,0,0,0,0,0,0
A0AVF1,0,0,0,0,0,9845100,0,0
A0AVT1,2950000000,2580700000,2507500000,2346300000,2892000000,2865100000,2563400000,2709600000
A0FGR8,298700000,255950000,264330000,247710000,311070000,328160000,275130000,302320000
A0MZ66,1268800000,1609900000,1506300000,1684700000,1354500000,1416800000,1543200000,1585000000
A1A4S6,0,0,0,0,0,0,0,0
A1L0T0,853050000,704450000,635660000,683150000,882770000,848390000,689980000,738680000
A1X283,245010000,255610000,261540000,233720000,281810000,267510000,234570000,243670000
A1XBS5,0,0,0,0,0,0,12852000,0
A2RRP1,184120000,98367000,110390000,79000000,92675000,122750000,97865000,61664000
A3KMH1,102370000,56386000,65665000,83018000,81648000,129410000,77351000,0
A3KN83,0,64342000,0,0,0,0,0,0
A4D1E9,98958000,86069000,84380000,84092000,103680000,98239000,103650000,111770000
A5D8V6,0,0,0,0,0,0,0,0
A5PLL7,82686000,58672000,33511000,47831000,80589000,0,58378000,63239000
A5PLN9,0,0,0,32168000,0,0,0,0
A5YKK6,788140000,489940000,608420000,564120000,736600000,783120000,734130000,746800000
Q9GZQ8,250400000,213710000,214520000,213640000,321940000,237090000,239910000,241010000
A6ND36,0,0,0,0,0,0,0,21305000
A6NDG6,739720000,647820000,679270000,768390000,802410000,696810000,690160000,709320000
A6NDU8,0,0,0,71631000,82113000,79564000,0,79409000
A6NED2,0,0,0,6648500,0,0,0,0
A6NFN3,0,0,0,0,0,0,0,34775000
A6NFQ7,0,0,0,0,0,0,0,0
A6NGY5,0,0,0,0,0,0,0,0
A6NHL2,0,0,0,0,0,0,0,0
A6NHQ2,0,0,0,0,0,0,180710000,0
A6NHR9,162200000,104840000,98542000,87149000,150330000,122510000,150000000,110480000
A6NHX0,0,13163000,0,0,0,25582000,0,0
A6NIH7,169380000,180860000,179750000,209390000,148400000,0,215360000,211520000
A6NIL9,0,0,0,0,0,0,0,0
A6NJ78,0,0,80036000,76252000,0,106160000,90699000,110140000
A6NKT7,0,0,0,0,0,0,0,0
A6QL63,0,0,0,0,0,0,0,0
Q9NQA3,0,0,0,8923600,0,0,0,0
A8MPP1,0,0,0,0,0,0,0,0
P62308,480600000,323420000,272230000,580870000,281530000,641500000,729990000,822110000
A8MXV4,139500000,0,138610000,0,143870000,0,0,139480000
B2RUZ4,0,0,0,0,0,0,12270000,0
Q13765,4553100000,3853200000,4149000000,3556600000,4983300000,4595500000,4165300000,4189300000
E9PRG8,0,0,0,0,133650000,47406000,150850000,33857000
L0R6Q1,0,0,0,0,0,0,0,0
O00115,0,0,0,0,0,0,0,0
O00116,1688000000,1518800000,1570200000,1604900000,1746900000,1811600000,1680500000,1589600000
O00139,114220000,131300000,0,78392000,94897000,103200000,94682000,78837000
O00148,695540000,484290000,579610000,587820000,680630000,712820000,716650000,720130000
O00151,697960000,622390000,619920000,803320000,597070000,600830000,592890000,618400000
O00154,4508800000,4138300000,4589400000,4653500000,4312600000,4317100000,4117300000,3755300000
O00159,1480100000,1250200000,1285600000,1305600000,1460200000,1341200000,1320200000,1359900000
O00161,138690000,142450000,139030000,183260000,0,0,151510000,126370000
O00165,0,0,0,0,0,0,0,0
O00170,764900000,696660000,713880000,794640000,854710000,851940000,731590000,726390000
