ID,QC1,QC2,QC3,QC4,QC5
1A0A075B6P5,399853.7597,0,0,231919.242,0
1A0A087WSY6,16437.17979,0,0,0,0
1A0A0A0MRZ8,61213.58615,0,260274.7439,80408.65816,199455.3439
1A0A0B4J1U7,356666.8482,171607.1527,0,174685.4561,0
1A0A0B4J1V0,269300.9999,499868.7177,0,0,226952.3789
1A0A0C4DH31,56339.13547,28638.45752,22704.53879,84719.1576,54174.25081
1A0A0C4DH38,62504.3461,74858.7293,0,48349.69923,54984.90414
1A0A0C4DH67,27739.5023,31179.95759,0,0,26061.07864
1A0A0C4DH73,23182.95058,30143.97956,49341.46807,44055.03379,30126.56617
1A0A1B0GUS4,165623.1023,0,0,29809.31426,0
1A0FGR8,116608.0432,0,0,101439.8516,37775.83392
1A1X283,52877.19328,0,0,55667.43888,50877.66185
1A6NHL2,55357.25606,0,0,46181.66052,69879.13138
1A6NNT2,8635.804093,0,15869.26777,25206.495,21728.76803
1B0I1T2,32831.52213,0,0,0,0
1O00148,222935.0988,63321.36242,161308.6456,0,400356.8282
1O00159,1727927.384,1503006.621,1559079.376,2190449.897,1245615.681
1O00161,79903.11387,0,55974.21254,0,54729.28355
1O00203,239021.6878,217872.143,192128.3107,58646.66511,194312.38
1O00231,81715.81431,71957.61815,40851.29261,0,0
1O00232,32383.98352,67428.94079,0,189654.6672,0
1O00299,712206.3951,643377.7612,825905.1411,743941.7774,785824.5213
1O00303,98924.06817,80274.3231,106523.3389,70458.82208,0
1O00410,80002.31638,40093.84053,43924.82051,0,195870.5453
1O00468,0,0,0,223575.947,0
1O00469,48581.04814,0,0,0,0
1O00483,403246.9366,182367.5361,140980.9809,331563.7627,201879.1567
1O00487,64353.12018,74198.20014,61356.16805,67161.69804,0
1O00534,0,96703.70496,45316.25291,0,0
1O00567,31265.70067,0,33299.67768,0,0
1O00584,149581.6052,229601.4267,379962.3084,59766.00644,354192.3619
1O00743,0,74566.19593,0,0,0
1O00754,77240.42828,0,0,122457.6471,0
1O14579,86026.61436,86862.84528,0,0,0
1O14617,32697.37328,0,0,0,0
1O14737,86164.14512,0,0,0,0
1O14773,51324.89943,243883.39,283921.5937,39671.4544,248858.35
1O14786,121477.9846,0,0,78916.60905,174982.9829
1O14787,52210.95823,0,0,120307.8784,0
1O14818,439207.847,532047.3879,284371.6527,361258.5851,391710.5384
1O14880,500938.8644,180644.0115,138974.4679,275219.1163,117137.3687
1O14958,61979.02371,53182.37956,84593.27665,46511.73833,116872.5824
1O14979,127565.4115,70214.52921,91763.27905,800347.3238,92752.59078
1O14980,186433.0837,84261.72057,278173.9652,211822.254,369387.0197
1O15143,412907.9084,425216.8114,703911.0242,869931.6224,79684.37034
1O15144,707911.3772,791088.4782,497099.5387,593019.4872,690806.9896
1O15145,267891.8733,251485.531,198541.6514,512339.2152,222002.9126
1O15173,28997.57052,211443.862,170675.4985,377360.5355,167609.7039
1O15230,41369.70193,0,0,77933.68363,0
1O15247,0,0,0,58805.00501,65077.33435
1O15258,48220.31174,116091.0277,52917.56185,67769.47968,49753.33864
1O15260,138240.9545,120320.6503,0,105305.7813,181969.2666
1O15498,43888.09296,76340.02883,84332.61748,362354.7844,71769.29792
1O15511,520226.9891,565716.674,785371.7027,747230.3754,729363.9429
1O15523,70523.96732,75635.71283,0,0,0
1O15533,73879.9432,37542.09248,144787.7299,229531.9634,206655.4935
1O43143,140811.2014,0,125941.5094,50493.37796,53997.0477
1O43169,0,292766.2744,61780.91123,0,0
1O43242,224062.4,199481.6696,139949.5957,267643.1608,139929.3554
1O43324,38444.35514,0,0,55077.92723,59865.11863
1O43390,653800.9164,327124.9704,247757.478,492424.927,409665.0838
1O43396,39117.354,0,74933.88542,52067.03302,45634.89386
1O43399,106631.4269,0,70665.82593,180324.7927,195992.7544
1O43488,138804.6051,132767.2928,237453.0022,135819.0992,115843.9897
1O43491,436671.4192,166958.2945,429637.5703,193515.7249,595972.7714
1O43617,40845.50684,163222.4384,0,55736.86484,87216.52109
1O43676,76630.55829,79334.30347,68898.40674,79356.30679,85221.45845
1O43681,141487.5821,48131.98664,300011.2028,131556.1017,159411.5139
1O43684,66401.42659,184957.4812,103691.7177,81124.84173,62072.01028
1O43707,2551195.5,2436504.813,3267053.271,3118565.345,3000130.19
1O43747,135603.0695,61782.30153,68025.47981,96592.21453,119846.3358
1O43760,242166.8584,530556.7721,838666.189,396276.0642,551366.4703
1O43776,112585.8322,0,110920.7904,315510.5323,98565.66765
1O43795,266065.6453,161126.2599,353211.9268,256681.1673,329047.8511
1O43809,132931.3655,128202.2817,122069.1268,258520.3462,0
1O43852,16159.86368,126711.6658,16813.45404,0,15957.44592
1O60234,74212.49707,186112.7085,0,226085.0255,0
1O60313,205879.0306,70592.77299,192109.5582,213454.373,79640.57877
1O60493,88715.22788,70685.93648,0,266218.1016,228255.942
1O60504,0,0,77534.85138,0,0
1O60506,61505.55718,312936.1705,610223.7429,290103.0674,531252.8985
1O60610,59310.70161,0,68925.59781,0,55897.39833
1O60662,423955.4609,136922.3846,325261.3878,112230.1072,964096.9643
1O60664,382391.8631,216428.1089,491745.7119,616185.8334,457784.8949
1O60701,495877.2818,936199.9337,623725.5128,761761.1068,1096520.648
1O60716,68975.05538,0,86085.0347,0,0
1O60749,445791.2864,699369.02,298623.5209,273172.8775,507574.8962
1O60760,73433.5319,231678.9725,101900.858,165733.1614,101404.9911
1O60832,19733.4087,0,27268.88712,0,0
1O60888,0,40067.75475,89994.92224,0,0
