Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	5	16.129032258064516	1.3626926434603172E-5	P84098, P46781, P61247, P18124, P46776	31	97	19734	32.81343531759228	0.004568212310275932	0.004578647282026666	0.004565020355592062
GOTERM_BP_DIRECT	GO:0098761~cellular response to interleukin-7	3	9.67741935483871	1.4606495340553275E-4	P30101, P10809, P07237	31	12	19734	159.14516129032256	0.0478963832298096	0.0245389121721295	0.024465879695426736
GOTERM_BP_DIRECT	GO:0006412~translation	5	16.129032258064516	2.370583901496225E-4	P84098, P46781, P61247, P18124, P46776	31	202	19734	15.756946662408176	0.07657072102945306	0.02655053969675772	0.026471520233374513
GOTERM_BP_DIRECT	GO:0021762~substantia nigra development	3	9.67741935483871	0.002412940845189848	P00338, P00367, Q9Y2J8	31	48	19734	39.78629032258064	0.5559099154223511	0.20268703099594723	0.20208379578464977
GOTERM_BP_DIRECT	GO:0022614~membrane to membrane docking	2	6.451612903225806	0.007578784806281998	P15311, P26038	31	5	19734	254.63225806451612	0.9223986386636583	0.42441194915179187	0.42314881835074486
GOTERM_BP_DIRECT	GO:1902115~regulation of organelle assembly	2	6.451612903225806	0.007578784806281998	P15311, P26038	31	5	19734	254.63225806451612	0.9223986386636583	0.42441194915179187	0.42314881835074486
GOTERM_BP_DIRECT	GO:2000643~positive regulation of early endosome to late endosome transport	2	6.451612903225806	0.013601806804752752	P15311, P26038	31	9	19734	141.46236559139786	0.9899639671124291	0.6342853521485958	0.632397598124344
GOTERM_BP_DIRECT	GO:1902966~positive regulation of protein localization to early endosome	2	6.451612903225806	0.015102032194014186	P15311, P26038	31	10	19734	127.31612903225806	0.9939819319764932	0.6342853521485958	0.632397598124344
GOTERM_BP_DIRECT	GO:0008360~regulation of cell shape	3	9.67741935483871	0.018581867576571258	P15311, P26038, P35579	31	138	19734	13.838709677419354	0.9981678117924438	0.6582067391447853	0.6562477905163783
GOTERM_BP_DIRECT	GO:0006090~pyruvate metabolic process	2	6.451612903225806	0.019589486284070992	P00338, P21796	31	13	19734	97.93548387096773	0.9987025981220198	0.6582067391447853	0.6562477905163783
GOTERM_BP_DIRECT	GO:0007015~actin filament organization	3	9.67741935483871	0.02336879779699091	P35749, P02787, P67936	31	156	19734	12.241935483870968	0.9996456111566366	0.7006481493864825	0.6985628870371179
GOTERM_BP_DIRECT	GO:0034975~protein folding in endoplasmic reticulum	2	6.451612903225806	0.02554202351771872	P30101, P07237	31	17	19734	74.89184060721063	0.9998323488231169	0.7006481493864825	0.6985628870371179
GOTERM_BP_DIRECT	GO:0006457~protein folding	3	9.67741935483871	0.027108410541738903	P30101, P10809, P07237	31	169	19734	11.300248138957816	0.9999023539100651	0.7006481493864825	0.6985628870371179
GOTERM_BP_DIRECT	GO:0061028~establishment of endothelial barrier	2	6.451612903225806	0.031459617688879914	P15311, P26038	31	21	19734	60.62672811059908	0.9999783449966663	0.7316871879512464	0.7295095475109152
GOTERM_BP_DIRECT	GO:0030220~platelet formation	2	6.451612903225806	0.034405373071782784	P67936, P35579	31	23	19734	55.354838709677416	0.9999922184449723	0.7316871879512464	0.7295095475109152
GOTERM_BP_DIRECT	GO:0042327~positive regulation of phosphorylation	2	6.451612903225806	0.03734246689011212	P14174, P02787	31	25	19734	50.92645161290322	0.9999972040500406	0.7316871879512464	0.7295095475109152
GOTERM_BP_DIRECT	GO:0050900~leukocyte migration	2	6.451612903225806	0.03880777340057191	P26038, P35579	31	26	19734	48.967741935483865	0.9999983241159567	0.7316871879512464	0.7295095475109152
GOTERM_BP_DIRECT	GO:0043066~negative regulation of apoptotic process	4	12.903225806451612	0.040970982800496276	P14174, P61247, P10809, P21796	31	507	19734	5.022332506203473	0.9999992139190979	0.7316871879512464	0.7295095475109152
GOTERM_BP_DIRECT	GO:0010628~positive regulation of gene expression	4	12.903225806451612	0.04137516836629072	P04114, P15311, P02545, P26038	31	509	19734	5.002598390265542	0.9999993177325811	0.7316871879512464	0.7295095475109152
GOTERM_BP_DIRECT	GO:0007159~leukocyte cell-cell adhesion	2	6.451612903225806	0.04755443986602148	P15311, P26038	31	32	19734	39.78629032258065	0.9999999223226649	0.798914589749161	0.7965368677558597
GOTERM_BP_DIRECT	GO:0031032~actomyosin structure organization	2	6.451612903225806	0.05045285999615646	P35749, P35579	31	34	19734	37.44592030360531	0.999999972103219	0.8072457599385033	0.8048432427958292
GOTERM_BP_DIRECT	GO:0006953~acute-phase response	2	6.451612903225806	0.0590970543894019	Q14624, P00966	31	40	19734	31.829032258064515	0.9999999987085956	0.9025731943108655	0.8998869645658926
GOTERM_BP_DIRECT	GO:0070527~platelet aggregation	2	6.451612903225806	0.07192087513529892	P30101, P35579	31	49	19734	25.982883475971033	0.9999999999871602	1.0	1.0
GOTERM_BP_DIRECT	GO:0006096~glycolytic process	2	6.451612903225806	0.07192087513529892	P00338, P05062	31	49	19734	25.982883475971033	0.9999999999871602	1.0	1.0
GOTERM_BP_DIRECT	GO:0071320~cellular response to cAMP	2	6.451612903225806	0.07897204386034841	P15311, P00966	31	54	19734	23.57706093189964	0.9999999999990099	1.0	1.0
GOTERM_BP_DIRECT	GO:0090398~cellular senescence	2	6.451612903225806	0.083177857844394	P14174, P02545	31	57	19734	22.336162988115447	0.9999999999997873	1.0	1.0
