"ID","log2sum","n","type"
"A0A0B4J1U7",0.475716553237536,1,"ns"
"A0A0B4J1V0",0.177515212746517,1,"ns"
"A0A0B4J1X5",0.871861233570347,2,"up"
"A0A0C4DH43",0.12474205471206,1,"ns"
"A0AVT1",0.39130605931461,1,"ns"
"A6NI56",0.0527578389283965,1,"ns"
"A6NKB5",-0.00096348361764389,1,"ns"
"A6NMZ7",0.309929551849128,1,"ns"
"B3KS81",-0.518223109782854,1,"down"
"L0R6Q1",0.518296035098984,1,"up"
"O00116",0.742328019042517,1,"up"
"O00159",0.561905111076136,3,"up"
"O00186",0.0297144411071773,1,"ns"
"O00203",-0.0175138602362416,1,"ns"
"O00231",0.505050972758428,3,"up"
"O00264",0.063129632005016,1,"ns"
"O00299",-4.63213005283561,1,"down"
"O00468",-0.424964570359007,1,"ns"
"O00469",0.277678776686987,1,"ns"
"O00483",1.16595834289726,1,"up"
"O00499",-0.302740821427033,1,"ns"
"O00567",0.729999221332725,1,"up"
"O00584",0.613758093534619,1,"up"
"O14495",-0.146308408382163,1,"ns"
"O14579",-1.81881880545004,1,"down"
"O14617",-0.37139441005184,1,"ns"
"O14681",0.276464583823317,1,"ns"
"O14735",1.39660540882089,1,"up"
"O14818",0.189037171158325,4,"ns"
"O14936",0.294239925725509,1,"ns"
"O14957",0.423359041624846,1,"ns"
"O14958",-0.290705086939888,1,"ns"
"O14964",-0.217491387777681,1,"ns"
"O15054",0.187700407913821,1,"ns"
"O15126",-0.773287619063508,1,"down"
"O15143",0.492871629772902,1,"ns"
"O15144",0.110691138453275,2,"ns"
"O15145",-0.249245250993782,2,"ns"
"O15230",-0.304834828823984,1,"ns"
"O15260",-0.179404278281434,1,"ns"
"O15371",-0.438742074907076,1,"ns"
"O15382",0.421101562535846,1,"ns"
"O43143",-0.183119016464774,1,"ns"
"O43399",0.31803440726536,1,"ns"
"O43491",-0.542933460004605,1,"down"
"O43598",-0.097497868403216,1,"ns"
"O43707",2.08611236384342,6,"up"
"O43747",-0.538732276017739,1,"down"
"O43772",0.261757883031529,2,"ns"
"O43776",0.664995765719889,1,"up"
"O43852",-0.087640352453706,1,"ns"
"O60313",-0.136069936533301,1,"ns"
"O60506",0.241506226417587,1,"ns"
"O60547",0.549018923928653,1,"up"
"O60610",0.387418325316272,1,"ns"
"O60613",1.15165118886857,1,"up"
"O60637",1.241973224002,1,"up"
"O60664",-0.445169511527511,1,"ns"
"O60701",0.35054580936973,2,"ns"
"O60749",0.708006115964646,2,"up"
"O60762",0.398992075150679,1,"ns"
"O75083",0.733728309848937,2,"up"
"O75251",0.385536171654419,2,"ns"
"O75323",-0.0384880635972328,1,"ns"
"O75367",0.524232764411631,1,"up"
"O75369",0.425205676419905,2,"ns"
"O75390",0.104963199179632,1,"ns"
"O75643",0.485185210104746,2,"ns"
"O75695",-0.0404818192175379,1,"ns"
"O75746",0.160788537595023,1,"ns"
"O75828",0.125564237006702,1,"ns"
"O75832",-0.422820929748056,1,"ns"
"O75844",0.0709595778930893,1,"ns"
"O75947",0.952827711433329,1,"up"
"O94826",0.365279056274537,1,"ns"
"O94832",1.10298240228597,1,"up"
"O94919",0.406938500971037,1,"ns"
"O94925",0.748869586394462,1,"up"
"O94979",0.407583220578271,1,"ns"
"O95182",-0.318991132407534,1,"ns"
"O95210",0.26302559652746,1,"ns"
"O95292",-0.0895296113293465,1,"ns"
"O95297",0.754629166911606,1,"up"
"O95352",0.267884292281087,1,"ns"
"O95433",0.0367377301780839,1,"ns"
"O95479",0.23671002457379,1,"ns"
"O95573",-0.0300398490216745,1,"ns"
"O96011",-0.162831940746009,1,"ns"
"O96019",-0.0612115052190299,1,"ns"
"P00338",-0.63618324549731,3,"down"
"P00367",0.442800608421963,1,"ns"
"P00387",0.266971335598595,3,"ns"
"P00441",0.699715015911767,1,"up"
"P00450",0.55337444201903,2,"up"
"P00488",1.03596935283226,3,"up"
"P00491",0.0295381152737111,1,"ns"
"P00505",0.113000147260781,1,"ns"
"P00533",0.278960786828083,1,"ns"
"P00568",-0.0760076616156916,1,"ns"
"P00734",-0.10484106200554,1,"ns"
"P00736",0.985756478876909,1,"up"
"P00738",0.690579692391356,2,"up"
"P00747",2.47764200972609,2,"up"
"P00966",0.882755918386186,1,"up"
"P01008",1.12530930306709,3,"up"
"P01023",1.72752219637349,2,"up"
"P01024",1.29822797998522,5,"up"
"P01701",0.374019128148311,1,"ns"
"P01706",-0.0853465964307208,1,"ns"
"P01817",0.493869357013538,1,"ns"
"P01834",2.16383432848778,2,"up"
"P01859",-0.0275498663365101,1,"ns"
"P01860",0.537320906443772,1,"up"
"P01871",1.28008659569179,2,"up"
"P01892",0.384491551637299,1,"ns"
"P01903",0.16906605008772,1,"ns"
"P01909",0.330046278023562,1,"ns"
"P02042",-0.219364588900455,1,"ns"
"P02144",-0.590328292095658,2,"down"
"P02452",-0.0408541947296435,2,"ns"
"P02511",0.108577789540617,1,"ns"
"P02545",-1.49172718201036,15,"down"
"P02647",1.8827237420518,3,"up"
"P02649",-2.26930098602585,3,"down"
"P02671",4.39243908934019,7,"up"
"P02675",2.3440135176994,6,"up"
"P02679",0.464749752865311,1,"ns"
"P02749",1.21036343187205,4,"up"
"P02751",7.63678443558143,14,"up"
"P02760",0.266948085693668,1,"ns"
"P02774",-0.130047067087199,1,"ns"
"P02787",-2.72559536351218,5,"down"
"P02790",1.30898905284959,3,"up"
"P02792",0.218492323861872,1,"ns"
"P04004",-0.543444077086109,1,"down"
"P04075",-0.510075198499265,3,"down"
"P04083",2.6534899430335,5,"up"
"P04114",0.951189110778099,1,"up"
"P04179",0.288740482520008,1,"ns"
"P04406",-0.858436789380351,1,"down"
"P04843",0.601935370494693,6,"up"
"P04844",0.620015652730725,1,"up"
"P04899",0.13542334280714,1,"ns"
"P05023",0.0585539046368937,1,"ns"
"P05026",-0.409515021655487,1,"ns"
"P05090",0.221329009697697,1,"ns"
"P05107",0.81954571165055,2,"up"
"P05141",0.887436373738049,1,"up"
"P05362",-1.08199248855007,1,"down"
"P05388",-0.694913435726035,1,"down"
"P05455",-0.332873145529172,1,"ns"
"P05556",0.592334857816803,1,"up"
"P05976",0.143938182859406,1,"ns"
"P06454",-0.0977914490479954,1,"ns"
"P06576",-0.283703297262187,2,"ns"
"P06727",1.04957600118437,1,"up"
"P06732",0.578566357630249,2,"up"
"P06733",0.565900726579606,1,"up"
"P06744",-0.367197244061381,1,"ns"
"P06748",0.283302746240797,2,"ns"
"P06753",-0.0686594750375051,5,"ns"
"P06756",-0.277661515427617,1,"ns"
"P07237",-1.29380257431912,4,"down"
"P07305",-0.141624931846356,1,"ns"
"P07355",-0.904438303968693,6,"down"
"P07437",0.738000848620409,2,"up"
"P07451",0.13580748652783,2,"ns"
"P07585",0.105718451010922,1,"ns"
"P07602",0.195073132834891,1,"ns"
"P07814",0.299291263590408,1,"ns"
"P07900",-1.42959982536109,2,"down"
"P07910",1.46932798744374,2,"up"
"P07954",0.774776261615603,1,"up"
"P08133",1.25712271015514,4,"up"
"P08174",0.0387462109338413,1,"ns"
"P08236",-0.19009109594086,1,"ns"
"P08238",1.13338874522071,4,"up"
"P08294",-0.526835135832171,1,"down"
"P08311",0.648657149361487,2,"up"
"P08572",0.364307914535771,1,"ns"
"P08603",-0.285295750057146,5,"ns"
"P08670",2.29261153086692,11,"up"
"P08708",0.200993403458593,2,"ns"
"P08758",0.25125279500605,4,"ns"
"P09104",0.822203772248454,1,"up"
"P09429",-1.16330419810478,2,"down"
"P09488",0.27820814984951,1,"ns"
"P09493",0.440263536265028,1,"ns"
"P09496",0.0769778601159714,1,"ns"
"P09543",0.214971820225398,2,"ns"
"P09651",0.502095670568184,1,"up"
"P09669",0.805744224305856,2,"up"
"P09874",0.642294108509868,1,"up"
"P09914",-0.60835332148546,1,"down"
"P09917",1.21717464169459,2,"up"
"P09960",0.572098590648134,2,"up"
"P0C0L4",-0.388801106554014,3,"ns"
"P0DMV9",0.37925025358965,1,"ns"
"P0DP08",-0.210745110393453,1,"ns"
"P10412",0.972595722402016,1,"up"
"P10515",0.879352478556712,1,"up"
"P10606",-0.177431726113806,1,"ns"
"P10643",0.323132477963002,1,"ns"
"P10644",0.0743644127796847,2,"ns"
"P10809",0.146750913022119,1,"ns"
"P10909",-0.821144767741807,2,"down"
"P10916",1.31357931425221,1,"up"
