Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	425	50.41518386714117	4.147777563811683E-194	P04114, Q7KZF4, Q96TA1, O95433, P50135, Q9P2R7, Q6ZVM7, P60174, Q92973, P27348, P27105, P04004, P27487, P52565, P08603, P49257, P52209, O00159, P15144, P21810, P14174, P62241, P63218, P61158, P49368, P67936, P10809, P62249, P07602, P06756, Q13813, P29992, P30740, O60547, P61160, P19827, P63104, P26599, P62258, Q9UHQ9, P49591, O00299, Q14914, P17661, Q7L576, Q9NQ79, P55735, P15121, P62263, P49588, P62269, P10909, P08758, O00469, P50570, O00584, P40121, P39023, Q92896, Q9Y230, P42785, P07437, Q9UL25, Q15907, P18206, P16278, P61353, P42892, P05023, Q9UM54, P05026, P04179, Q9UNX3, Q9UHL4, P05107, Q13618, Q9BPX5, Q9NR45, P62333, Q9BVC6, P15153, Q71DI3, P20618, P61247, P26038, P40227, Q9Y490, Q9UL46, Q687X5, P52788, P53999, O60637, Q8NBS9, Q96KP4, P09960, P05362, Q9H4M9, P61019, P06576, P07900, P14555, P38646, Q00796, P15531, P62879, P49419, P62873, P25685, P07910, P23284, Q07065, Q15149, Q9BS26, P04406, P36578, Q99880, P02679, Q8IWA5, Q96CW1, P02675, Q01518, Q16363, Q99879, P26641, P51888, P12111, P51884, O60701, P26639, P35241, P25789, O14964, P50440, P23381, Q9Y696, Q08257, O75083, P17931, P14550, P01009, P01008, P49747, P06733, P29972, P01042, P0DMV9, O43598, P59666, Q12907, P16422, P61981, P62834, P55072, Q92930, P07954, P06744, P20929, P15586, P49327, Q9H4G4, P05783, O43491, P06753, P01024, P01023, P49207, P50990, P50991, P04899, P12277, P13489, P50995, P15311, P17844, Q15084, Q00610, P62854, P02144, P06727, P35268, Q06278, Q09666, Q99536, O14818, P17858, Q14204, P30085, Q04760, P30086, Q9NYU2, O75390, P36871, Q9NTK5, P01876, Q8WUM4, P43034, P62913, Q96QK1, P01871, P47755, Q13126, Q14697, P13639, P62805, P46782, P46781, Q86VP6, P11216, P11215, Q9Y4L1, P59998, P08174, P08294, P46777, P60866, O94919, P22105, P46779, P01860, P00450, P62937, O75369, O75367, O43776, P59768, P25705, P02749, P23528, Q16531, Q9BXS5, P21589, P22314, Q8WZ42, P00441, P35749, P32119, P62826, P18077, P37802, Q9Y2J8, P31146, Q9Y6R7, Q709C8, P52907, P00558, P20020, Q16543, P61978, P62820, P21291, Q96FZ7, P54136, Q5VTE0, P40925, P38606, P35579, P35580, Q04837, P02649, P02647, Q15582, P48643, Q16555, P27824, P02760, P12109, P60709, O94832, Q14019, P35443, O75695, P11021, P11142, P12110, P63096, P00338, P49721, Q99715, P02511, Q04828, Q15113, P02751, P02671, P02792, P00491, P02790, P14618, P11586, Q53TN4, Q9Y5K8, P50914, Q9UBQ7, P22234, P21266, P02787, P14625, P35542, P14866, Q8TCT8, Q9H299, P11233, Q00325, P02774, P48735, P52272, P12814, P0C0L4, P04083, P41250, P39060, P46940, P15090, P98160, P07355, P07237, Q13765, P60903, Q14974, P10643, Q01082, P78417, P19338, P22626, P39059, Q7Z4W1, P01903, P46939, P42330, P41240, P05062, P09543, Q32P28, P16070, O15144, O15145, Q14624, O15143, P11940, P30101, Q9Y2A7, Q7Z6Z7, P00966, P21980, Q9NZ08, P20774, P07339, P53396, P19320, O43707, P08670, Q9NVJ2, P08311, P04075, Q14764, P30041, P62280, P11766, P30043, P30044, P51148, P63244, Q9Y6C2, P05090, P05091, P00747, P00505, P30050, P01834, P01833, Q13561, P35609, P00738, Q92485, P00736, P00734, P01701, P21695, P08133, P09104, P21333, P13929, Q13576, P55884, P28066, O75844, Q9H223, P84085, P63267, P63261, P01859, Q9Y6E0, P61088, Q9NZM1, P16083, Q16851, Q15642, Q9BVK6, Q13347, Q14314, O15230, Q13228, Q06830, Q96G03, P42356, P84077, Q9UGT4, P20340, P08238, P00751, P21796	840	2219	20624	4.702461426210863	3.2643009427197944E-191	3.2643009427197944E-191	2.696055416477594E-191
GOTERM_CC_DIRECT	GO:0005925~focal adhesion	108	12.811387900355871	2.11228587150636E-54	P12814, P62081, P18124, P38646, Q96AC1, P04083, Q8WUM4, P46940, P62879, P27348, P98160, P07237, P27487, P23284, Q15149, Q13642, P46782, P46781, P36578, P51911, Q9Y4L1, P84098, P62241, P61158, P00533, P16070, P46777, P67936, Q01518, P62249, P06756, O15144, P62937, O15145, O75369, O15143, P11940, Q13418, Q03135, P30101, O95297, Q9Y2A7, P61160, P23528, P35241, P40429, P21980, P63104, P62258, P08708, Q7L576, O43707, P08670, Q07954, P62263, P61978, P62269, P62424, P08758, P21291, P0DMV9, P50570, P62280, P35579, P61981, P35221, P39023, P30050, Q9Y4G6, P98082, Q9HBL0, Q9UBG0, Q07020, Q9UL25, P06748, P60709, P35609, P18206, P11021, P11142, P61353, P08133, O43491, P21333, P05107, Q9BPX5, P15311, Q02878, P63261, P15153, Q00610, P61247, P26038, Q9Y490, Q14315, P14625, P35268, Q09666, Q7Z5R6, P11233, P13498, P42356, O14936, P84077, P24821, P05362, P23458, Q9ULV4	840	428	20624	6.195460614152203	1.6623689808755053E-51	7.16403040484517E-52	5.916924730812403E-52
GOTERM_CC_DIRECT	GO:0016020~membrane	336	39.8576512455516	2.7308883372980324E-54	Q7KZF4, Q14204, Q14203, Q92616, Q9BZZ2, Q14444, O00264, P54619, Q6ZVM7, Q9UEY8, P13073, Q9UBS4, Q9NTK5, P60059, Q99808, P09496, Q8WUM4, P62913, P27348, Q00839, P47755, Q9H0D6, P27105, P38919, P27487, P52565, Q14697, P30876, O14681, P13639, P49257, P62805, P46782, Q9UI09, P46781, Q9Y279, Q86VP6, P11216, Q9Y4L1, O00159, P62241, P63218, P78382, Q13492, P61158, P00533, Q9BSJ8, P46777, P67936, O94919, P46776, P60866, Q96HH6, P46779, P10809, P62249, Q92959, P06756, Q13813, P62937, O75369, Q6ZMZ3, P59768, O95573, O95210, A6NKB5, P30740, Q8TED1, Q7L1Q6, P61160, P42167, P25705, O60664, P23528, P40429, Q9BXS5, P26599, P21589, Q9BQE5, P62258, Q93008, Q16891, Q1KMD3, P61619, Q9UHQ9, Q53H12, P31943, P36957, P62826, P08708, P26373, P18077, O00299, P13611, P31146, P20700, Q5KU26, Q02543, P00558, P62263, P43243, P20020, P49588, O14579, P61978, P62269, Q9P2E9, P10909, P62942, Q96FZ7, P08758, P54136, Q16666, P50570, P38606, P36542, P35579, O60762, P02649, Q92896, Q9Y230, Q16555, P27824, Q8N386, Q9H8H3, P04843, P04844, P12109, P60709, O00231, P36776, Q07666, P53618, P11021, P11142, Q04941, P61353, P00338, P05141, P49721, P42892, Q9UM54, Q70UQ0, P05023, Q15233, P05026, P02792, Q9UKR5, P05107, O43852, Q13618, O60506, O60749, P11586, Q53TN4, P42766, Q02878, P62333, Q9Y5K8, P15153, P50914, Q15363, P22234, Q14152, P51572, Q9UL46, P14625, P33121, Q687X5, P14866, O00499, Q8TCT8, O43747, Q8NC56, O60637, Q00325, Q92621, Q9Y262, P23458, P05362, Q86VB7, Q9H4M9, P06576, P07900, P52272, P62081, P16615, P18124, P11168, P15531, Q00796, Q8N183, Q8NBJ5, Q96KG9, P62879, P00387, P62873, P62753, P98160, P07355, P07910, Q07065, Q14974, P23284, Q15149, P04406, P36578, Q8TCJ2, P10644, P01909, O96011, P19338, P22626, P84098, P39059, P46939, O15126, Q32P28, P09543, Q8IWA5, P61313, P27635, Q16363, P26641, Q15836, O15145, O75643, P11940, P12236, P33176, Q13418, Q03135, Q15717, O00567, O00203, Q7Z6Z7, P49755, Q9NZ08, P09874, P53396, Q9Y696, P19320, P51659, P17931, O14617, Q07954, Q9BXJ8, Q9NVJ2, P08311, Q9NYP7, P04075, O14735, P62424, P06733, Q14764, O75746, Q6NUK1, P30041, Q12904, P62280, P39656, P37235, Q12907, Q9NX62, Q12906, P16662, P61981, P42704, P63241, P30050, P29728, Q96GC9, Q9UBG0, Q13561, P06744, Q07020, Q13445, Q5VW38, P46063, P06748, P22307, Q96HD1, P49327, P23634, P08133, P46977, P09104, P21333, P13929, P04899, P12956, O75844, P45880, O14495, Q6UWH6, Q9Y5S8, P78527, Q9H223, P50995, Q15080, P15311, P17844, P13010, P63261, Q00610, Q9Y6E2, Q15642, Q969V3, P26678, P62854, P07814, Q13228, Q09666, P13498, P42356, Q99536, P17858, Q9HD45, P24821, P20340, P43686, P08238, P21796	840	3653	20624	2.258308239802902	2.1492091214535516E-51	7.16403040484517E-52	5.916924730812403E-52
GOTERM_CC_DIRECT	GO:0005829~cytosol	432	51.245551601423486	1.782810600007579E-52	P04114, Q7KZF4, Q92616, Q96TA1, O95433, P10916, Q9Y266, P54619, P50135, P13073, P60174, Q92973, P63208, P60059, Q9UK45, P27348, Q92734, Q00839, P05455, O75828, P52565, P02042, O14681, Q9UI09, P52209, O00159, P14174, P62241, P61158, P49368, P67936, P10809, P62249, P06756, Q13813, Q06124, P18621, A0AVT1, O60547, P61160, P12081, O60664, P40429, P63104, P62258, Q9UHQ9, P09914, P31943, P49591, P09917, P08708, P31948, P26373, P17661, Q7L576, P55735, P15121, P62263, P49588, Q9UKX2, O14579, P62269, P10909, P08758, P50570, Q9Y224, P29692, O95352, P39023, Q9Y230, Q8N386, P62314, P07437, Q9UL25, Q15907, Q07666, O00231, P53618, Q08752, Q5VST9, P18206, P61353, Q9UM54, Q9UNX3, P52895, Q12768, Q13618, O60506, O60749, Q9NR45, P42766, P62333, P15153, P20618, P61247, P26038, P40227, Q9Y490, Q5TCY1, P51572, Q9UL46, P31749, Q7Z5R6, O00499, P52788, Q96KP4, Q92621, P09960, Q9Y262, Q9UNZ2, Q86VB7, P06454, P61019, P07900, Q00796, P15531, Q9P2J5, Q96RU3, Q96KG9, P62879, P49419, P62873, P62753, P25685, P07910, P23284, Q07065, Q15149, P05976, Q9Y678, Q9UM07, P04406, P36578, Q99880, O96011, O60610, P11182, P61313, Q96CW1, P27635, Q99879, P26641, P33176, O60701, P26639, P25789, Q14195, O14964, P23246, P23381, Q9Y696, P51659, Q08257, O75083, Q99613, P17931, P14550, P62424, P06733, P06732, P0DMV9, O43598, Q12904, Q9NX62, Q00872, P61981, Q9NVS9, P62834, P29728, Q15185, P55072, P40763, P07954, P06744, Q07020, P06748, P20929, P49327, P05783, O43491, P06753, P49207, P50990, Q9BT78, P50991, P04899, P12277, P13489, P50995, P15311, Q15080, P17844, P13010, Q15084, Q00610, P62854, P02144, P07814, P06727, P35268, Q06278, Q09666, O14936, O14818, P17858, P49427, Q14204, Q14203, Q14444, P30085, Q04760, P30086, Q6NZI2, P36871, Q9UEY8, P09493, Q9NTK5, P09496, Q8WUM4, P43034, P62913, Q96QK1, P47755, Q13126, P38919, P13639, P46782, P46781, Q86VP6, P59998, Q13492, P46777, P46776, P60866, O94919, P46779, Q14103, P62937, O75369, O43772, P31153, O43776, P23528, P00325, Q9NRI5, O94925, Q9BXS5, P21589, P22314, Q93008, Q8WZ42, P00441, Q53H12, P35749, P36957, P32119, P62826, P18077, P37802, Q9Y2J8, P31146, Q8N6H7, Q709C8, P52907, Q02543, P00558, P31150, P09488, Q16543, P49902, P62820, P62942, Q96FZ7, P54136, Q16666, P40925, P38606, P35579, P35580, P35221, P02647, P23588, P98082, P48643, Q16555, P02760, Q14258, P04843, P60709, O94832, Q14019, P36776, P13797, P11021, P11142, P00338, P49721, P02511, Q04828, P46459, P02792, P00491, P14618, Q00341, P11586, Q02878, Q9UNH7, Q9Y5K8, P50914, Q9UBQ0, Q9UBQ7, P22234, P21266, P24534, Q14152, P47897, Q16698, P02545, Q15008, P14625, P14866, O43747, Q9H299, Q15370, Q93034, P23458, P56470, P02774, P48735, O95831, P12814, Q9NNW7, P62081, P18124, P42224, Q9Y3A5, Q96AC1, P04083, P41250, P46940, P15090, P45974, P07355, P07237, Q14974, Q13642, P10644, Q01082, P78417, P84098, Q7Z4W1, P42330, P41240, P05062, P16070, O15260, O15144, Q15836, O15145, O15143, P11940, Q9Y6I3, Q13418, Q15717, Q9Y2A7, Q7Z6Z7, P00966, P07451, P21980, Q9NZ08, P09874, P53396, P78559, Q9ULA0, O43707, Q8N392, P08670, Q9NVJ2, P08311, P04075, Q92783, Q13310, Q14764, P52594, Q16822, P30041, P62280, P11766, P30043, P30044, P30048, P63244, P63241, P30050, Q13561, P30038, Q6ZT62, P35606, Q13564, P35609, P32455, P32456, P22307, P21695, P09104, P21333, P13929, Q13576, P55884, P12956, P28066, P13805, P78527, P19237, P63267, P63261, Q9Y6E0, P61088, P16083, Q16851, Q15642, Q14315, Q13347, O75832, Q13228, Q06830, Q96G03, P42356, P84077, P20340, P08238, P43686	840	5593	20624	1.8964113304896426	1.4030719422059646E-49	3.5076798555149116E-50	2.897067225012316E-50
GOTERM_CC_DIRECT	GO:0022626~cytosolic ribosome	38	4.507710557532621	1.859066438275695E-28	Q92616, P62081, P62280, P18124, P18621, P42766, P05090, Q02878, P50914, P39023, P30050, P40429, P61247, P62913, P62753, Q07020, P08708, P46782, P26373, P46781, P36578, P35268, P18077, P84098, P61353, Q02543, P62263, P62241, P61313, P46777, P46776, P62269, P60866, P27635, P46779, P62424, P62249, P49207	840	88	20624	10.602164502164502	1.4630852869229718E-25	2.9261705738459436E-26	2.4167863697584033E-26
GOTERM_CC_DIRECT	GO:0005576~extracellular region	195	23.131672597864767	5.500059129149833E-27	P04114, Q14204, P07900, Q13751, Q9BZZ2, P12814, O00264, P14555, P0C0L4, P36871, P04083, Q9NTK5, P39060, P01876, P00387, P98160, P07355, P47755, P07237, Q15661, P07910, P27487, P04004, P60903, Q14974, P08603, P13639, P62805, A0A0B4J1X5, Q9BS26, P14207, Q86VP6, P11216, P10643, Q9Y4L1, P22626, P21810, P39059, P08174, P14174, P08294, P02679, P0DP08, O94919, P02675, P22105, Q01518, Q16363, P01860, P07602, P00450, Q9BRX8, Q13813, P62937, Q14624, P51888, P12111, P51884, P30740, P01817, P61160, P19827, P02749, Q7Z6Z7, Q9NZ08, P20774, Q05707, Q9BQE5, Q8WZ42, Q6UXV4, P00441, A0A0B4J1V0, P07339, P53396, P09917, P37802, P13611, Q9Y2J8, Q7L576, O75083, P17931, O43707, P52907, P01009, P01008, P08311, P07585, P04075, P49747, P10909, P08758, Q14764, P01042, P0DMV9, P30041, P59666, O00584, Q12906, O95352, A0A0C4DH43, Q9Y6C2, P05090, P00747, P02649, P01834, P02647, Q15582, P55072, Q9H8H3, P02760, P06744, P07437, P12109, P35609, Q14019, O00231, P35443, P32455, P15586, P16278, P18206, P00738, P11142, P12110, P01706, P00736, P00734, P01701, A6NMZ7, Q99715, Q9H4G4, P25774, Q15113, P01024, P02751, P01023, P21333, P09429, P0DOX5, Q9UHL4, P50990, P02671, P02792, P00491, P02790, P28066, P14618, O43852, P12956, Q7Z7G0, P55001, P35555, P13010, P01859, P20618, Q71DI3, P00488, P02787, Q9Y490, Q15008, P30533, Q14314, Q8TD55, O15230, P06727, P14625, O43866, Q96G03, P35542, Q99536, Q8NBS9, P17858, P28906, P09960, P24821, Q9BXN1, Q86VB7, P02774, P00751, P08238	840	2184	20624	2.1921768707482996	4.328546534640919E-24	7.21424422440153E-25	5.958397389912319E-25
GOTERM_CC_DIRECT	GO:0072562~blood microparticle	45	5.338078291814947	1.285597407881247E-26	P02671, P00450, P01042, P02790, P0DMV9, Q14624, P63267, P0C0L4, P63261, P00747, P01859, P19827, P02649, P01834, P02647, P01876, P00488, P02787, P63104, P26038, P01871, P27105, P02760, P04004, P08603, P02042, P60709, P06727, O43866, O00299, Q9ULA0, P00738, P11142, P00736, P00734, P01008, P02679, P02675, P02774, P00751, P01024, P02751, P01860, P01023, P10909	840	145	20624	7.619704433497536	1.0117651600025414E-23	1.4453788000036305E-24	1.1937690216040151E-24
GOTERM_CC_DIRECT	GO:0032991~macromolecular complex	94	11.150652431791222	4.142447128527267E-25	P07900, P0DMV9, P50570, P62081, Q6NZI2, P35579, P30048, Q9NYU2, P42224, P39023, Q15185, P27824, P62913, P27348, P55072, P07237, Q00839, P07437, P07910, P23284, Q13564, P31327, P06748, P12109, Q9UM07, P62805, P60709, Q9Y279, O96019, Q07666, P20929, Q8TCJ2, P10644, O96011, P22307, P18206, P12110, P11021, P46939, Q32P28, P23634, P00533, P02511, P05023, P46777, P27635, P10809, P01024, Q8TAQ2, P12956, O75844, P62937, Q06124, Q03135, P78527, P55769, O60749, P15311, Q99623, P13010, P61088, Q00610, P47897, Q16531, Q969V3, P09874, Q13263, P00441, P62826, P31948, P23381, P31749, P14625, P31146, O43707, P84077, P31150, Q9UKX2, P08238, P49747, P10909	840	685	20624	3.36923183872089	3.2601058901509593E-22	4.075132362688699E-23	3.3657382919284044E-23
GOTERM_CC_DIRECT	GO:1904813~ficolin-1-rich granule lumen	40	4.744958481613286	2.2099348059295957E-24	P50990, P09429, Q14764, P00491, P07900, P14618, P0DMV9, P12956, P28066, P62937, O95352, P61160, P36871, P20618, Q7Z6Z7, P55072, P06744, Q15008, Q14314, Q14974, P07339, Q8TD55, P13639, P53396, P09917, Q14019, O00231, Q96G03, Q86VP6, P15586, P16278, P18206, P11142, P17858, P14174, P01009, P09960, P04075, P25774, P08238	840	124	20624	7.920122887864823	1.7392186922665917E-21	1.9324652136295464E-22	1.596064026504708E-22
GOTERM_CC_DIRECT	GO:0042470~melanosome	37	4.389086595492289	3.1003354650580206E-24	Q7KZF4, P50991, P07900, O43852, P13667, P51148, P30101, P50995, P40121, Q15084, P02649, Q00610, P49755, Q8WUM4, P27824, P63104, P62258, P07355, P07237, P27105, P35749, P23284, Q14697, P07339, P04843, P62826, P14625, Q06830, P11021, P11142, P49327, P09543, P08133, P05023, P08238, P62820, P61019	840	104	20624	8.734981684981685	2.439964011000662E-21	2.4399640110006625E-22	2.0152180522877134E-22
