Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0061644~protein localization to CENP-A containing chromatin	14	8.588957055214724	3.7327090571381354E-24	P62805	160	18	19414	94.3736111111111	4.4605873232800715E-21	4.4605873232800715E-21	4.419527523651552E-21
GOTERM_BP_DIRECT	GO:0045653~negative regulation of megakaryocyte differentiation	14	8.588957055214724	3.326560250096323E-23	P62805	160	20	19414	84.93624999999999	3.975239498865106E-20	1.987619749432553E-20	1.9693236680570233E-20
GOTERM_BP_DIRECT	GO:0006336~DNA replication-independent nucleosome assembly	14	8.588957055214724	8.163938330278797E-21	P62805	160	27	19414	62.91574074074074	9.755906304683163E-18	2.4389765761707906E-18	2.416525745762524E-18
GOTERM_BP_DIRECT	GO:0032200~telomere organization	14	8.588957055214724	8.163938330278797E-21	P62805	160	27	19414	62.91574074074074	9.755906304683163E-18	2.4389765761707906E-18	2.416525745762524E-18
GOTERM_BP_DIRECT	GO:0006335~DNA replication-dependent nucleosome assembly	14	8.588957055214724	1.361400321358397E-19	P62805	160	32	19414	53.08515625	1.6268733840232846E-16	3.253746768046569E-17	3.2237959609766847E-17
GOTERM_BP_DIRECT	GO:0006352~DNA-templated transcription, initiation	14	8.588957055214724	6.45113772505892E-18	P62805	160	41	19414	41.43231707317072	7.70910958144541E-15	1.284851596907568E-15	1.2730245110782935E-15
GOTERM_BP_DIRECT	GO:0006334~nucleosome assembly	19	11.65644171779141	5.57890502940297E-16	P07305, Q9UM07, P62805, Q5SSJ5, Q08945, P16104	160	155	19414	14.873629032258066	6.63358257213531E-13	9.523987871623642E-14	9.436319364018737E-14
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	10	6.134969325153374	5.29475619914397E-8	P25398, P23396, P39023, P62917, P62829, P40429, P18124, P60866, P62424, P05388	160	90	19414	13.481944444444446	6.327033661468473E-5	7.909042072471305E-6	7.836239174733074E-6
GOTERM_BP_DIRECT	GO:0070527~platelet aggregation	7	4.294478527607362	2.8698014762992045E-6	P02671, P63261, P60709, O00186, P30101, P02751, P21333	160	49	19414	17.333928571428572	0.003423543948697483	3.4485099133300186E-4	3.416766307433257E-4
GOTERM_BP_DIRECT	GO:0006457~protein folding	11	6.748466257668712	2.8857823542510615E-6	Q99832, P23284, P07900, Q15084, P49257, Q13724, P14625, Q16543, P30101, P08238, Q02790	160	184	19414	7.253872282608697	0.0034425755909669453	3.4485099133300186E-4	3.416766307433257E-4
GOTERM_BP_DIRECT	GO:0006412~translation	11	6.748466257668712	1.4501333054297671E-5	P25398, P23396, P39023, Q5VTE0, P62917, P62829, P40429, P18124, P60866, P62424, P05388	160	221	19414	6.039423076923077	0.01717993132711826	0.0015753720908987016	0.001560870757844404
GOTERM_BP_DIRECT	GO:0045214~sarcomere organization	6	3.6809815950920246	1.805958558282473E-5	O75083, Q14315, P05556, P63261, P10644, Q8WZ42	160	40	19414	18.200625	0.021350187523105912	0.001798433730956296	0.0017818791108387068
GOTERM_BP_DIRECT	GO:0030199~collagen fibril organization	7	4.294478527607362	3.739984023762446E-5	P02452, Q8NBJ5, P08572, Q99715, P50454, P22105, Q05707	160	76	19414	11.175822368421052	0.04370959855502177	0.0034379083910739405	0.0034062623724113355
GOTERM_BP_DIRECT	GO:0030036~actin cytoskeleton organization	8	4.9079754601226995	9.538609337191661E-4	Q14315, Q13813, O75369, Q9NRX4, P61586, Q9BR76, P22105, P21333	160	189	19414	5.135978835978837	0.6803113730003187	0.08141884398531453	0.08066938182310661
GOTERM_BP_DIRECT	GO:0072378~blood coagulation, fibrin clot formation	3	1.8404907975460123	0.0018069213288730923	P02671, P00488, P02751	160	8	19414	45.5015625	0.8848159687068173	0.14395139920022304	0.14262632355904942
GOTERM_BP_DIRECT	GO:0007160~cell-matrix adhesion	6	3.6809815950920246	0.00203888051502426	P02671, P05556, P61586, P22105, P02751, P49746	160	109	19414	6.679128440366973	0.9127475313611872	0.15227888846587442	0.15087715811179525
GOTERM_BP_DIRECT	GO:0010977~negative regulation of neuron projection development	5	3.067484662576687	0.002477184315466627	P02649, P98082, P61586, Q02790, P21333	160	69	19414	8.792572463768115	0.9483831880994216	0.17413148570485998	0.1725286017360286
GOTERM_BP_DIRECT	GO:0050821~protein stabilization	8	4.9079754601226995	0.002709885001252985	Q99832, P23284, P07900, P04406, P62829, Q16543, P08238, P21333	160	227	19414	4.2762114537444935	0.9609420268986867	0.17990625424985096	0.1782502134157519
GOTERM_BP_DIRECT	GO:0032964~collagen biosynthetic process	3	1.8404907975460123	0.002872879320029771	P02452, P50454, Q15113	160	10	19414	36.40125	0.967872138973056	0.18068898881239875	0.17902574289027626
GOTERM_BP_DIRECT	GO:0001895~retina homeostasis	4	2.4539877300613497	0.004897130653634259	P63261, P60709, P01834, P02787	160	42	19414	11.555952380952382	0.9971670799040816	0.284255097532279	0.281638523412735
GOTERM_BP_DIRECT	GO:0042307~positive regulation of protein import into nucleus	4	2.4539877300613497	0.005233148239087981	P07900, P08238, Q13263, P21333	160	43	19414	11.287209302325582	0.998107832907945	0.284255097532279	0.281638523412735
GOTERM_BP_DIRECT	GO:0032728~positive regulation of interferon-beta production	4	2.4539877300613497	0.005233148239087981	P07900, O94826, P29728, Q9Y6K5	160	43	19414	11.287209302325582	0.998107832907945	0.284255097532279	0.281638523412735
GOTERM_BP_DIRECT	GO:0007596~blood coagulation	5	3.067484662576687	0.006668424589554931	P02671, Q9BQB6, P00747, P49257, P00488	160	91	19414	6.666895604395604	0.9996630094463451	0.34646814715296276	0.3432789006101321
GOTERM_BP_DIRECT	GO:0021762~substantia nigra development	4	2.4539877300613497	0.007119313442903754	P60709, P09543, P61586, Q9Y2J8	160	48	19414	10.111458333333335	0.9998041199612695	0.35448248184458275	0.35121946318325187
GOTERM_BP_DIRECT	GO:0071346~cellular response to interferon-gamma	5	3.067484662576687	0.008933020903327675	P63261, P04406, O75369, P40429, O00186	160	99	19414	6.128156565656565	0.9999779660401621	0.42699839917906285	0.4230678699815987
