Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	40	4.744958481613286	8.28590289317466E-30	P62081, P62280, P18124, P18621, P42766, P63244, Q02878, P50914, P39023, P30050, P40429, P61247, P62913, P62753, P62854, Q07020, P49591, P08708, P46782, P26373, P46781, P36578, P35268, P18077, P84098, P61353, Q02543, P62263, P62241, P61313, P46777, P46776, P62269, P60866, P27635, P46779, P62424, P62249, P49207, Q9UNX3	828	90	19414	10.420826623725175	3.187586843004292E-26	3.187586843004292E-26	3.1088707655191327E-26
GOTERM_BP_DIRECT	GO:0006412~translation	48	5.6939501779359425	2.4475651920691535E-20	Q5VTE0, Q12904, P62081, P62280, P18124, P18621, P42766, P63244, Q02878, P50914, P12081, P39023, P30050, P40429, P47897, P61247, P62913, P62753, P62854, Q13765, Q07020, P49591, P08708, P46782, P26373, P23381, P46781, P36578, P35268, P18077, P84098, P61353, Q02543, P62263, P62241, P61313, P46777, P46776, P62269, P60866, P27635, Q13310, P46779, Q9P2E9, P62424, P62249, P49207, Q9UNX3	828	221	19414	5.092530657748049	9.415783293890034E-17	4.707891646945017E-17	4.591632300321732E-17
GOTERM_BP_DIRECT	GO:0006457~protein folding	39	4.6263345195729535	4.068190890132071E-16	P50990, P50991, O95433, P07900, P04899, Q9Y266, P62937, P13667, P30101, P38646, Q15084, Q9UBS4, P62879, Q15185, Q9Y230, P48643, P27824, P40227, Q14696, P62873, P25685, P07237, P23284, P49257, Q9BS26, P14625, O75695, Q08752, Q9Y4L1, P11142, Q8NBS9, P63096, Q32P28, Q16543, P49368, P02511, P08238, P10809, P62942	828	184	19414	4.969714870825457	1.7084111902931909E-12	5.216776784779358E-13	5.087950739925176E-13
GOTERM_BP_DIRECT	GO:0061644~protein localization to CENP-A containing chromatin	14	1.6607354685646498	9.714928226477311E-15	P62805	828	18	19414	18.236446591519055	3.75850461864502E-11	9.343332221814554E-12	9.112602676435718E-12
GOTERM_BP_DIRECT	GO:0045653~negative regulation of megakaryocyte differentiation	14	1.6607354685646498	8.152839359424036E-14	P62805	828	20	19414	16.41280193236715	3.1349345341880053E-10	6.272794603140853E-11	6.117890655311796E-11
GOTERM_BP_DIRECT	GO:0032200~telomere organization	14	1.6607354685646498	1.5980557998294465E-11	P62805	828	27	19414	12.157631061012703	6.147717479532133E-8	8.782458088491258E-9	8.565579087085833E-9
GOTERM_BP_DIRECT	GO:0006336~DNA replication-independent nucleosome assembly	14	1.6607354685646498	1.5980557998294465E-11	P62805	828	27	19414	12.157631061012703	6.147717479532133E-8	8.782458088491258E-9	8.565579087085833E-9
GOTERM_BP_DIRECT	GO:0006335~DNA replication-dependent nucleosome assembly	14	1.6607354685646498	2.2700682091559045E-10	P62805	828	32	19414	10.258001207729468	8.732950005363449E-7	1.0916190500778456E-7	1.0646619900941193E-7
GOTERM_BP_DIRECT	GO:0006099~tricarboxylic acid cycle	14	1.6607354685646498	8.567068003890026E-10	P07954, P51553, P08559, P36957, P53396, P10515, P40925, Q96I99, Q9P2R7, P21912, Q02218, O75390, P31040, P48735	828	35	19414	9.378743961352656	3.2957456939097796E-6	3.661945623440548E-7	3.5715154611772645E-7
GOTERM_BP_DIRECT	GO:0070527~platelet aggregation	16	1.8979833926453145	9.891331106106316E-10	P21291, P02671, P62937, P60709, O00299, Q13418, P30101, P35579, P18206, P63261, P02679, P02675, P02751, P49747, P21333, Q9Y490	828	49	19414	7.6561175194715565	3.805187831495971E-6	3.8051950765191E-7	3.71122743101109E-7
GOTERM_BP_DIRECT	GO:0006936~muscle contraction	20	2.372479240806643	4.113936268950434E-9	P52179, Q12797, P05976, P13805, P54296, P35609, Q5VTT5, P17661, P12882, P19237, P12883, Q00872, P46939, P09493, Q9NZM1, Q9UKX2, P02511, P67936, P06753, Q8WZ42	828	88	19414	5.328831796223101	1.582618775375355E-5	1.4387557115138473E-6	1.403226261918366E-6
GOTERM_BP_DIRECT	GO:0006352~DNA-templated transcription, initiation	14	1.6607354685646498	8.063998912082372E-9	P62805	828	41	19414	8.006244845057145	3.102172276003845E-5	2.5851836512317405E-6	2.521343659844422E-6
GOTERM_BP_DIRECT	GO:0006334~nucleosome assembly	26	3.084223013048636	9.398524654285017E-9	P07305, P06748, Q9UM07, P62805, Q71DI3, Q5SSJ5, O75367, Q99880, P10412, P16401, Q99879	828	155	19414	3.933021661212405	3.6155470778398424E-5	2.78124033423342E-6	2.712558807913645E-6
GOTERM_BP_DIRECT	GO:0006096~glycolytic process	14	1.6607354685646498	3.8222426519420356E-8	P06744, P06733, P13929, P14618, P04406, Q02218, P36871, P17858, P00338, P00558, P05062, P60174, P04075, P09104	828	46	19414	7.13600084015963	1.4703086767786644E-4	1.050297677287215E-5	1.0243610307204656E-5
GOTERM_BP_DIRECT	GO:0045214~sarcomere organization	13	1.542111506524318	6.122960611716049E-8	Q14315, P21291, Q15149, P13805, P54296, P35609, P10644, Q5VST9, P12883, O75083, P63261, P09493, Q8WZ42	828	40	19414	7.6202294685990335	2.3552256232628466E-4	1.570335298218109E-5	1.531556547677241E-5
GOTERM_BP_DIRECT	GO:0006886~intracellular protein transport	38	4.507710557532621	6.535643218477359E-8	Q9P253, Q9H269, P51148, O60749, O00203, P38646, Q6ZVM7, P84085, Q9UNH7, Q9UBQ0, Q00610, Q15363, P49755, Q96AX1, P09496, Q9BXS5, Q9BVK6, Q96QK1, Q13445, P51572, Q9UL25, P35606, Q9Y678, P06748, P53618, P55735, O43747, O14617, Q9Y2D4, P84077, Q7Z7H5, Q96CW1, P20340, Q9UM54, Q9H4M9, P62820, Q9H1C4, P46459	828	327	19414	2.7247115484052067	2.5139459779799367E-4	1.57141371634265E-5	1.5326083347329406E-5
GOTERM_BP_DIRECT	GO:0050821~protein stabilization	29	3.4400948991696323	4.5247678047073375E-7	P50990, P50991, P07900, P0DMV9, O14495, P62081, Q99623, P02647, Q15185, Q9Y230, P48643, P62913, P40227, Q969V3, Q93008, Q9UL25, P23284, P04406, P16401, Q32P28, Q16543, P49368, P02511, P46777, P08238, P10809, P21333, P05026, P10909	828	227	19414	2.995413820255805	0.0017391644660561534	1.0239283379240662E-4	9.986428707801136E-5
GOTERM_BP_DIRECT	GO:0021762~substantia nigra development	13	1.542111506524318	5.576620323828753E-7	P13929, Q5TCY1, P60709, P14854, Q9Y2J8, P12277, P11021, P00338, P09543, P00367, P27348, P27338, P62258	828	48	19414	6.350191223832528	0.002143026868532627	1.1918476880982897E-4	1.1624155252780823E-4
GOTERM_BP_DIRECT	GO:0006888~ER to Golgi vesicle-mediated transport	21	2.491103202846975	1.1389785181361909E-6	Q13445, P51572, P35606, Q9Y678, P49257, P53618, Q13618, O95292, Q6UWH6, Q12907, Q9Y4L1, Q15363, Q7Z7H5, P49755, Q9BVK6, O14579, P55072, Q92734, P62820, P61019, P07237	828	135	19414	3.6472893183038115	0.004372067418951464	2.3061317680368035E-4	2.2491828421299938E-4
